"word","mapped","confidence","library","target","matched_term","source_kind","source_file"
"paintworks","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"paintworks","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"painty","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painty","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painty","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painty","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"painty","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"palliative","yes","phrase-token","setup-classifier","Home Health Agency","palliative care","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"palliatively","yes","stem-prefix-candidate","setup-classifier","Home Health Agency","palliative care","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"palliatives","yes","stem-prefix-candidate","setup-classifier","Home Health Agency","palliative care","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"panel","yes","phrase-token","setup-classifier","Electrical Contractor","electrical panel","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"panel","yes","phrase-token","setup-classifier","Solar Energy Installer","solar panel","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paneled","yes","stem-prefix-candidate","setup-classifier","Electrical Contractor","electrical panel","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paneled","yes","stem-prefix-candidate","setup-classifier","Solar Energy Installer","solar panel","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paneless","yes","stem-prefix-candidate","setup-classifier","Electrical Contractor","electrical panel","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paneless","yes","stem-prefix-candidate","setup-classifier","Solar Energy Installer","solar panel","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paneling","yes","stem-prefix-candidate","setup-classifier","Electrical Contractor","electrical panel","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
